mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
1.6866499423980712,0.017388044729073487,0.010153865814208985,0.0009812079195973815,0.7,500,6,0.1,0.01,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 0.7}",0.9362796411068106,0.9327697906659695,0.9350057566676904,0.939453012874574,0.8882148600031134,0.9263446122636315,0.019187033705239952,1,-2.6482370896772904,-2.945625969915679,-2.8544552520983144,-2.7730844738122187,-3.538522862457648,-2.95198512959223,0.30914312037674724,1
0.5963484287261963,0.025119369998134272,0.008269405364990235,0.0011217900017633266,0.8,500,3,0.1,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 0.8}",0.9551319234425317,0.9197505782954355,0.9340092669695277,0.9315636030427299,0.8896077370720635,0.9260126217644578,0.021481258230283535,2,-2.4267142672105266,-3.1383802458445236,-3.0111019233934804,-2.9082718285069316,-3.58428298264015,-3.0137502495191226,0.3733052882031354,2
0.27718310356140136,0.010335764346981934,0.0061972618103027345,0.0001604779427861632,0.8,200,3,0.1,0.1,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9428447297816297,0.9110400825535819,0.9309351046915747,0.918201567008317,0.8803425640857525,0.9166728096241712,0.02117703435134951,3,-2.787198826414166,-3.489821153814143,-3.22373322614034,-3.430724133693811,-3.844566529902016,-3.355208773992895,0.347337068523309,7
0.5698767185211182,0.1309388526830801,0.015224838256835937,0.01368383048460923,1.0,100,6,0.1,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 0.8}",0.9300956654291744,0.9135153339070564,0.932807558212983,0.9132764011548876,0.8836773037177152,0.9146744524843633,0.01749711214522173,4,-2.9876323868722623,-3.1743147328116676,-3.064889855702718,-3.324240442911784,-3.8025171099639516,-3.270718905652477,0.2889537071985581,3
0.8855923652648926,0.01811195442248077,0.007867908477783203,0.0003758674638818194,0.7,100,9,0.1,0.01,0.7,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 0.7}",0.9299734026146462,0.917389364291556,0.9255850291947046,0.9252501429832357,0.8668299456224544,0.9130055769413193,0.023441355096744294,5,-2.8928868882150365,-3.2637324789798625,-3.161559723825166,-3.1900304352731417,-4.010035483081166,-3.303649001874875,0.37480641543672977,4
0.8641439437866211,0.04354596831387373,0.010592985153198241,0.002613436311795767,0.8,100,9,0.1,0.1,0.7,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.9226372634071662,0.9129750419473013,0.9241114897923071,0.9160682226751569,0.8760032465897483,0.9103590528823359,0.01766150287591559,6,-3.0187945002931538,-3.290917423248291,-3.2539462304548787,-3.331781191161184,-3.8145222050969196,-3.3419923100508853,0.26007935292426226,6
0.4770632266998291,0.02045271551462608,0.007208347320556641,0.001391385049103984,1.0,100,6,0.1,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9194553304290607,0.9053259828984099,0.9251380719074975,0.915782224344973,0.8768660523313688,0.908513532382262,0.017091843710118067,7,-2.9683098636973986,-3.39037091405464,-3.181710300907944,-3.2015367475567444,-3.924836553596869,-3.3333528759627193,0.3245709046283702,5
8.274951219558716,0.20232054394487545,0.019000673294067384,0.001163038297906124,1.0,500,9,0.01,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.8987452493742025,0.8784509565633344,0.9184634443679088,0.9030102770283627,0.8792980603292536,0.8955935975326124,0.015148495704133916,8,-3.1692749041933,-3.702096038471569,-3.4027932489568533,-3.41816368299542,-3.9933997772961125,-3.537145530382651,0.28387061175482836,8
0.7047586441040039,0.09006100772664827,0.010318660736083984,0.004535681815378966,0.7,500,3,0.01,0.01,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.01, 'colsample_bytree': 0.8}",0.9043023554720132,0.8712411186880511,0.8943558121216194,0.8742782061314576,0.8413527044747207,0.8771060393775724,0.021715842885173448,9,-3.9337706257213245,-4.451555322126909,-4.340113747336647,-4.5528486982403376,-5.119247610278245,-4.479507200740693,0.3828020424539509,11
0.15553178787231445,0.03284317909727368,0.007812881469726562,0.004297442678221687,0.7,100,3,1.0,0.01,0.7,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 1.0, 'gamma': 0.01, 'colsample_bytree': 0.7}",0.8816908388151181,0.8634398103875423,0.8946363365526883,0.8966057207157897,0.8341320302358802,0.8741009473414036,0.023224761195807266,10,-3.6992710055726947,-4.145675227714308,-4.134143596508286,-3.9084527912717877,-4.438374533129902,-4.0651834308393955,0.2485809441553661,9
0.3469667911529541,0.19024732263947475,0.019754648208618164,0.022597975825817414,1.0,200,6,1.0,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 1.0, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.8883150988390726,0.7872274003426207,0.8629510261740696,0.8494318484032649,0.8226036825463939,0.8421058112610844,0.0346856312405655,11,-3.517805796883323,-4.547015686121854,-4.220520661382964,-4.329336148724411,-4.856601006170598,-4.294255859856629,0.444895897892699,10
0.3128397464752197,0.023786893518115654,0.0073416709899902345,0.0036815261229883357,0.8,200,3,0.01,0.01,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.01, 'colsample_bytree': 1.0}",0.8063991557557872,0.7638329983086857,0.792454118615517,0.7562729414057635,0.7471416935547999,0.7732201815281107,0.022477563739056742,12,-5.895649168303519,-6.059692425814541,-6.182573659029873,-6.596872946074515,-6.79785489059076,-6.306528617962642,0.3378805098823421,13
0.2559202194213867,0.012602048766532188,0.007346630096435547,0.00123478405990832,0.8,200,3,0.01,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.01, 'colsample_bytree': 0.8}",0.7957697048093195,0.7512604366447437,0.7766859040868739,0.7599183164380643,0.7402942401547531,0.7647857204267509,0.019534990085743484,13,-6.055857147216797,-6.297144586274118,-6.489248527526857,-6.584393674908262,-6.923122186428163,-6.4699532244708395,0.289885984528543,14
0.4795567512512207,0.012349619690500984,0.006358432769775391,0.00013291551604034178,1.0,100,6,0.01,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7097621416941686,0.6654290990592129,0.7012884859246162,0.6916821505068693,0.6813892132553674,0.6899102180880469,0.015483128279410214,14,-7.193634114120946,-7.3932801939068415,-7.53237808227539,-7.489284611095082,-7.678260504559772,-7.457367501191607,0.1606869568614082,15
1.4721503257751465,0.1872638363884387,0.011330127716064453,0.0015081936064168483,0.7,500,9,1.0,0.1,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 1.0, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.700866803845118,0.6836804058442421,0.5142308354482623,0.5909148866271505,0.7256484022208762,0.6430682667971298,0.07890317391487174,15,-5.613579731912323,-6.3058083430203515,-6.897490390904022,-6.881820003393924,-5.786385596554455,-6.297016813157015,0.5348777548693101,12
2.9958210468292235,0.06726757905468507,0.012794923782348634,0.00113073519897113,0.8,500,6,0.001,0.01,1.0,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.001, 'gamma': 0.01, 'colsample_bytree': 1.0}",0.5174690740825358,0.47950352738371227,0.525475324285243,0.5011823495934598,0.5008690304270044,0.5048998611543911,0.015851662715515448,16,-9.303812926783705,-9.233897114146838,-9.653320233894117,-9.503987932147401,-9.782862428804723,-9.495576127155356,0.20626992590064844,16
2.219821643829346,0.04826369224963792,0.011499834060668946,0.001153940488471484,0.7,500,6,0.001,0.01,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.001, 'gamma': 0.01, 'colsample_bytree': 0.8}",0.4733392543805499,0.44481075651968727,0.46729457344403025,0.4605480556268231,0.44482462162919845,0.45816345232005773,0.011624005879447693,17,-9.728385598384973,-9.673323035962653,-10.189976689194188,-9.92383753273704,-10.342314873672114,-9.971567545990194,0.2590449908360208,17
1.9069575786590576,0.037881702566244214,0.011836481094360352,0.0019194818130555554,1.0,200,9,0.001,0.1,0.7,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.001, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.2285580871872943,0.21484008228367713,0.22368578207114775,0.2260501388679803,0.21356166495076034,0.22133915107217197,0.006042190119123448,18,-11.699262539950285,-11.49637055645567,-12.293027919884885,-11.798227259780422,-12.445264437605694,-11.946430542735392,0.3618218408133751,18
0.28643069267272947,0.013894996537140849,0.007432079315185547,0.0011597412821063447,0.8,200,3,0.001,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 0.01, 'colsample_bytree': 0.8}",0.19421944006215752,0.17982698147273035,0.18675788501888613,0.18506122057946994,0.18324945668764314,0.1858229967641774,0.004786018950262731,19,-11.970476880622634,-11.731148894338897,-12.608794421571673,-12.02143949104078,-12.680942714970287,-12.202560480508854,0.37490587374888096,19
0.42014598846435547,0.012355065725768796,0.007228755950927734,0.0010352689345132762,0.8,100,6,0.001,0.01,0.7,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.001, 'gamma': 0.01, 'colsample_bytree': 0.7}",0.11933504749990786,0.11038985373796295,0.11706820015638197,0.11773865463454847,0.10981054716747174,0.1148684606392546,0.0039665520080274476,20,-12.465992345636542,-12.22237759029504,-13.137656086314808,-12.555362472071796,-13.259842092932722,-12.728246117450182,0.40119311215196124,20
